Geoid,Tract,Year,type,County,CRA Eligible
6013369001,3690.01,2015,low,Contra Costa County,eligible
6013369002,3690.02,2015,mod,Contra Costa County,eligible
6013370000,3700.0,2015,mid,Contra Costa County,not eligible
6013371000,3710.0,2015,mod,Contra Costa County,eligible
6013372000,3720.0,2015,mod,Contra Costa County,eligible
6013373000,3730.0,2015,low,Contra Costa County,eligible
6013374000,3740.0,2015,mod,Contra Costa County,eligible
6013375000,3750.0,2015,low,Contra Costa County,eligible
6013376000,3760.0,2015,low,Contra Costa County,eligible
6013377000,3770.0,2015,low,Contra Costa County,eligible
6013378000,3780.0,2015,high,Contra Costa County,not eligible
6013379000,3790.0,2015,low,Contra Costa County,eligible
6013380000,3800.0,2015,mod,Contra Costa County,eligible
6013381000,3810.0,2015,low,Contra Costa County,eligible
6013382000,3820.0,2015,mod,Contra Costa County,eligible
6013383000,3830.0,2015,mod,Contra Costa County,eligible
6013384000,3840.0,2015,high,Contra Costa County,not eligible
6013385100,3851.0,2015,high,Contra Costa County,not eligible
6013385200,3852.0,2015,high,Contra Costa County,not eligible
6013386000,3860.0,2015,mod,Contra Costa County,eligible
6013387000,3870.0,2015,mid,Contra Costa County,not eligible
6013388000,3880.0,2015,mid,Contra Costa County,not eligible
6013389100,3891.0,2015,mid,Contra Costa County,not eligible
6013389200,3892.0,2015,low,Contra Costa County,eligible
6013390100,3901.0,2015,mid,Contra Costa County,not eligible
6013390200,3902.0,2015,high,Contra Costa County,not eligible
6013391000,3910.0,2015,high,Contra Costa County,not eligible
6013392000,3920.0,2015,high,Contra Costa County,not eligible
6013392200,3922.0,2015,mid,Contra Costa County,not eligible
6013392300,3923.0,2015,high,Contra Costa County,not eligible
6055250103,2501.03,2016,mid,Solano County,not eligible
6055250104,2501.04,2016,high,Solano County,not eligible
6055250105,2501.05,2016,high,Solano County,not eligible
6055250106,2501.06,2016,high,Solano County,not eligible
6055250200,2502.0,2016,mod,Solano County,eligible
6055250300,2503.0,2016,mod,Solano County,eligible
6055250400,2504.0,2016,mid,Solano County,not eligible
6055250501,2505.01,2016,mid,Solano County,not eligible
6055250502,2505.02,2016,mid,Solano County,not eligible
6055250601,2506.01,2016,mid,Solano County,not eligible
6055250604,2506.04,2016,high,Solano County,not eligible
6055250605,2506.05,2016,high,Solano County,not eligible
6055250701,2507.01,2016,mod,Solano County,eligible
6055250801,2508.01,2016,mod,Solano County,eligible
6055250900,2509.0,2016,low,Solano County,eligible
6055251000,2510.0,2016,low,Solano County,eligible
6055251100,2511.0,2016,mod,Solano County,eligible
6055251200,2512.0,2016,mod,Solano County,eligible
6055251300,2513.0,2016,mid,Solano County,not eligible
6055251400,2514.0,2016,mid,Solano County,not eligible
6055251500,2515.0,2016,mod,Solano County,eligible
6055251600,2516.0,2016,mod,Solano County,eligible
6055251701,2517.01,2016,mod,Solano County,eligible
6055251702,2517.02,2016,mid,Solano County,not eligible
6055251802,2518.02,2016,mod,Solano County,eligible
6055251803,2518.03,2016,mid,Solano County,not eligible
6055251804,2518.04,2016,mid,Solano County,not eligible
6055251901,2519.01,2016,mid,Solano County,not eligible
