Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone
6085512507,"Census Tract 5125.07, Santa Clara County, California",9444,746,5057,4138,46,654,4387,2340,24,47,0
6085512508,"Census Tract 5125.08, Santa Clara County, California",7824,760,3479,3101,81,197,4345,3031,0,0,0
6085512601,"Census Tract 5126.01, Santa Clara County, California",8778,913,2230,1826,296,75,6548,5017,0,129,0
6085512602,"Census Tract 5126.02, Santa Clara County, California",2646,622,1244,898,0,324,1402,443,0,0,0
6085512700,"Census Tract 5127, Santa Clara County, California",679,154,435,389,0,46,244,164,0,0,0
6087100100,"Census Tract 1001, Santa Cruz County, California",2404,209,2315,2197,34,48,89,13,0,10,0
6087100200,"Census Tract 1002, Santa Cruz County, California",6529,517,5401,4478,49,395,1128,995,0,0,0
6087100300,"Census Tract 1003, Santa Cruz County, California",3108,340,2949,2543,146,196,159,155,0,0,0
6087100400,"Census Tract 1004, Santa Cruz County, California",5546,634,4671,3285,53,973,875,725,12,0,0
6087100500,"Census Tract 1005, Santa Cruz County, California",4713,501,4308,3731,31,336,405,348,0,0,0
6087100600,"Census Tract 1006, Santa Cruz County, California",3082,314,2550,2115,107,109,532,373,0,0,0
6087100700,"Census Tract 1007, Santa Cruz County, California",1647,202,1388,1210,57,17,259,178,0,0,12
6087100800,"Census Tract 1008, Santa Cruz County, California",7147,643,5145,4613,112,229,2002,1810,0,0,0
6087100900,"Census Tract 1009, Santa Cruz County, California",3736,334,3277,3154,0,17,459,319,0,8,54
6087101000,"Census Tract 1010, Santa Cruz County, California",7100,682,5584,4392,242,379,1516,1150,0,0,0
6087101100,"Census Tract 1011, Santa Cruz County, California",5496,436,4738,4531,34,67,758,555,0,101,0
6087101200,"Census Tract 1012, Santa Cruz County, California",3361,471,2780,2463,109,62,581,535,0,0,0
6087110100,"Census Tract 1101, Santa Cruz County, California",8042,636,2404,1861,0,256,5638,4486,7,53,0
6087110200,"Census Tract 1102, Santa Cruz County, California",7285,709,2309,1741,0,455,4976,3491,0,0,0
6087110300,"Census Tract 1103, Santa Cruz County, California",6956,672,791,653,0,66,6165,4911,0,76,9
6087110400,"Census Tract 1104, Santa Cruz County, California",7278,680,1231,964,13,159,6047,4829,0,0,22
6087110501,"Census Tract 1105.01, Santa Cruz County, California",6788,499,1634,1427,51,75,5154,3895,0,0,18
6087110502,"Census Tract 1105.02, Santa Cruz County, California",6255,612,1136,731,0,354,5119,3815,0,20,11
6087110600,"Census Tract 1106, Santa Cruz County, California",7415,583,1458,847,56,473,5957,4096,0,0,0
6087110700,"Census Tract 1107, Santa Cruz County, California",2783,260,974,787,0,160,1809,1162,0,0,0
6087120200,"Census Tract 1202, Santa Cruz County, California",4241,357,3965,3675,117,65,276,177,6,13,0
