GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached",Estimate; 2,Margin of Error; 2,Estimate; 3 or 4,Margin of Error; 3 or 4,Estimate; 5 to 9,Margin of Error; 5 to 9,Estimate; 10 to 19,Margin of Error; 10 to 19,Estimate; 20 to 49,Margin of Error; 20 to 49,Estimate; 50 or more,Margin of Error; 50 or more,Estimate; Mobile home,Margin of Error; Mobile home,"Estimate; Boat, RV, van, etc.","Margin of Error; Boat, RV, van, etc."
1400000US06067005403,06067005403,"Census Tract 54.03, Sacramento County, California",1443,27,235,71,835,94,15,29,61,52,66,59,32,31,114,53,85,53,0,132,0,132
1400000US06067005404,06067005404,"Census Tract 54.04, Sacramento County, California",3109,45,1639,127,295,116,66,81,226,111,126,95,237,135,113,65,407,127,0,132,0,132
1400000US06067005502,06067005502,"Census Tract 55.02, Sacramento County, California",2230,55,915,166,50,37,68,71,324,144,221,139,292,152,162,98,188,90,0,132,10,16
1400000US06067005505,06067005505,"Census Tract 55.05, Sacramento County, California",2219,41,700,124,94,47,12,18,247,101,247,87,215,99,359,118,345,105,0,132,0,132
1400000US06067005506,06067005506,"Census Tract 55.06, Sacramento County, California",1467,32,214,58,81,47,67,60,213,102,403,113,211,87,146,67,132,53,0,132,0,132
1400000US06067005507,06067005507,"Census Tract 55.07, Sacramento County, California",3632,87,92,78,264,141,231,141,658,158,741,223,863,214,302,133,481,144,0,132,0,132
1400000US06067005508,06067005508,"Census Tract 55.08, Sacramento County, California",2015,39,128,61,214,73,64,78,410,137,571,153,223,114,100,56,305,84,0,132,0,132
1400000US06067005601,06067005601,"Census Tract 56.01, Sacramento County, California",2346,45,954,121,241,92,10,34,370,144,143,99,92,80,206,121,330,136,0,132,0,132
1400000US06067005605,06067005605,"Census Tract 56.05, Sacramento County, California",1501,37,734,97,124,55,18,21,44,49,213,98,104,78,147,85,117,68,0,132,0,132
1400000US06067005606,06067005606,"Census Tract 56.06, Sacramento County, California",1939,66,1410,99,75,61,69,62,120,58,67,70,56,63,54,38,74,44,14,23,0,132
