GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",5172,331,3896,358,1276,294
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",3310,424,1789,352,1521,271
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",5932,495,2763,418,3169,541
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",6680,744,2817,384,3863,695
1400000US06001408700,06001408700,"Census Tract 4087, Alameda County, California",7734,689,3978,572,3756,693
1400000US06001408800,06001408800,"Census Tract 4088, Alameda County, California",6276,702,3110,525,3166,798
1400000US06001408900,06001408900,"Census Tract 4089, Alameda County, California",3050,266,1246,225,1804,225
1400000US06001409000,06001409000,"Census Tract 4090, Alameda County, California",3775,359,1836,280,1939,271
1400000US06001409100,06001409100,"Census Tract 4091, Alameda County, California",2233,309,1067,245,1166,319
1400000US06001409200,06001409200,"Census Tract 4092, Alameda County, California",3605,262,1720,197,1885,242
1400000US06001409300,06001409300,"Census Tract 4093, Alameda County, California",5110,543,2009,312,3101,494
1400000US06001409400,06001409400,"Census Tract 4094, Alameda County, California",5311,520,2171,419,3140,476
1400000US06001409500,06001409500,"Census Tract 4095, Alameda County, California",4613,344,1718,223,2895,352
1400000US06001409600,06001409600,"Census Tract 4096, Alameda County, California",4680,565,1677,401,3003,530
1400000US06001409700,06001409700,"Census Tract 4097, Alameda County, California",5402,620,2283,394,3119,524
1400000US06001409800,06001409800,"Census Tract 4098, Alameda County, California",3515,412,2944,386,571,332
1400000US06001409900,06001409900,"Census Tract 4099, Alameda County, California",3464,303,3070,303,394,180
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California",3549,374,3241,398,308,151
1400000US06001410100,06001410100,"Census Tract 4101, Alameda County, California",2776,254,2293,220,483,160
1400000US06001410200,06001410200,"Census Tract 4102, Alameda County, California",3370,428,1997,325,1373,400
1400000US06001410300,06001410300,"Census Tract 4103, Alameda County, California",3598,334,1181,201,2417,357
1400000US06001410400,06001410400,"Census Tract 4104, Alameda County, California",4146,383,2192,274,1954,290
1400000US06001410500,06001410500,"Census Tract 4105, Alameda County, California",2209,202,2064,195,145,95
