,Id2,Percent of population 25 years and over with Bachelor's degree,All families - Percent  below poverty level; Estimate; Families,% Single Family,% Owner Occupied,Percent White alone,Percent Black or African African alone,Percent Asian alone,Percent Hispanic,Estimate; Total Number of Housing Units,Estimate; Median value (dollars),Median income (dollars); All households,CRA Eligible_x,County,type,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Total Loans,CRA
590,6081600100,32.0,2.3,0.6824729891956782,0.6141479099678456,0.43794844538931704,0.005580653733723093,0.281955886260962,0.2160510231198512,1666,715600.0,97106.0,not eligible,San Mateo County,mid,0.0,0.0,0.7959183673469388,78.0,0.0,0.0,0.20408163265306126,20.0,78.0,0
591,6081600100,32.0,2.3,0.6824729891956782,0.6141479099678456,0.43794844538931704,0.005580653733723093,0.281955886260962,0.2160510231198512,1666,715600.0,97106.0,not eligible,San Mateo County,mid,0.0,0.0,0.7959183673469388,78.0,0.0,0.0,0.20408163265306126,20.0,78.0,0
592,6081600100,32.0,2.3,0.6824729891956782,0.6141479099678456,0.43794844538931704,0.005580653733723093,0.281955886260962,0.2160510231198512,1666,715600.0,97106.0,not eligible,San Mateo County,mid,0.0,0.0,0.7959183673469388,78.0,0.0,0.0,0.20408163265306126,20.0,78.0,0
593,6081600100,32.0,2.3,0.6824729891956782,0.6141479099678456,0.43794844538931704,0.005580653733723093,0.281955886260962,0.2160510231198512,1666,715600.0,97106.0,not eligible,San Mateo County,mid,0.0,0.0,0.7959183673469388,78.0,0.0,0.0,0.20408163265306126,20.0,78.0,0
594,6081600200,13.7,14.8,0.8383349467570184,0.7357357357357357,0.04902191845392411,0.07353287768088616,0.5613952392175348,0.2986094744284704,1033,624700.0,72688.0,eligible,San Mateo County,mod,0.5102040816326531,25.0,0.0,0.0,0.4897959183673469,24.0,0.0,0.0,49.0,1
595,6081600200,13.7,14.8,0.8383349467570184,0.7357357357357357,0.04902191845392411,0.07353287768088616,0.5613952392175348,0.2986094744284704,1033,624700.0,72688.0,eligible,San Mateo County,mod,0.5102040816326531,25.0,0.0,0.0,0.4897959183673469,24.0,0.0,0.0,49.0,1
596,6081600300,38.0,0.0,0.8486486486486486,0.8545163868904876,0.17538860103626944,0.027461139896373058,0.5435233160621762,0.22642487046632123,1295,662400.0,87792.0,not eligible,San Mateo County,mid,0.0,0.0,0.6571428571428571,23.0,0.0,0.0,0.3428571428571429,12.0,23.0,0
597,6081600300,38.0,0.0,0.8486486486486486,0.8545163868904876,0.17538860103626944,0.027461139896373058,0.5435233160621762,0.22642487046632123,1295,662400.0,87792.0,not eligible,San Mateo County,mid,0.0,0.0,0.6571428571428571,23.0,0.0,0.0,0.3428571428571429,12.0,23.0,0
598,6081600300,38.0,0.0,0.8486486486486486,0.8545163868904876,0.17538860103626944,0.027461139896373058,0.5435233160621762,0.22642487046632123,1295,662400.0,87792.0,not eligible,San Mateo County,mid,0.0,0.0,0.6571428571428571,23.0,0.0,0.0,0.3428571428571429,12.0,23.0,0
599,6081600400,19.5,8.2,0.7782805429864253,0.7067050596462361,0.10099913119026933,0.04528670721112076,0.504018245004344,0.315377932232841,2431,613100.0,81836.0,not eligible,San Mateo County,mid,0.0,0.0,0.6193548387096774,96.0,0.0,0.0,0.38064516129032255,59.0,96.0,0
600,6081600500,30.0,2.9,0.6557603686635944,0.5974930362116991,0.11809011432414257,0.026496301277740417,0.5359784801613988,0.29320780094149296,2170,606900.0,77175.0,not eligible,San Mateo County,mid,0.0,0.0,0.7818181818181819,86.0,0.0,0.0,0.21818181818181814,24.0,86.0,0
601,6081600500,30.0,2.9,0.6557603686635944,0.5974930362116991,0.11809011432414257,0.026496301277740417,0.5359784801613988,0.29320780094149296,2170,606900.0,77175.0,not eligible,San Mateo County,mid,0.0,0.0,0.7818181818181819,86.0,0.0,0.0,0.21818181818181814,24.0,86.0,0
602,6081600600,19.3,4.5,0.6294078509647372,0.5130190007037297,0.08360908890359585,0.02360467681447165,0.46216633575998234,0.41672181778071915,1503,574900.0,57703.0,eligible,San Mateo County,mod,0.55,33.0,0.0,0.0,0.45,27.0,0.0,0.0,60.0,1
603,6081600700,19.8,2.6,0.7328833172613307,0.6503567787971458,0.06439141447806959,0.03746167177709639,0.48833488868150915,0.39488068257565656,2074,596500.0,79318.0,eligible,San Mateo County,mod,0.5714285714285714,48.0,0.0,0.0,0.42857142857142855,36.0,0.0,0.0,84.0,1
604,6081600800,25.5,4.0,0.1281127129750983,0.08969110532192036,0.20352379384159394,0.04231845875185246,0.44376749547176025,0.21027498765025524,3052,736100.0,47666.0,eligible,San Mateo County,mod,0.9090909090909092,10.0,0.0,0.0,0.09090909090909093,1.0,0.0,0.0,11.0,1
605,6081600900,39.6,6.3,0.9166666666666666,0.7421926910299004,0.4554552111300952,0.005857944837686112,0.4315352697095436,0.04564315352697095,1572,765800.0,86307.0,not eligible,San Mateo County,mid,0.0,0.0,0.8947368421052632,51.0,0.0,0.0,0.10526315789473684,6.0,51.0,0
606,6081600900,39.6,6.3,0.9166666666666666,0.7421926910299004,0.4554552111300952,0.005857944837686112,0.4315352697095436,0.04564315352697095,1572,765800.0,86307.0,not eligible,San Mateo County,mid,0.0,0.0,0.8947368421052632,51.0,0.0,0.0,0.10526315789473684,6.0,51.0,0
607,6081601000,24.0,2.8,1.0,0.7746341463414634,0.22086438152011922,0.04426229508196721,0.5543964232488823,0.15737704918032788,2157,604300.0,77207.0,not eligible,San Mateo County,mid,0.0,0.0,0.7911392405063291,125.0,0.0,0.0,0.2088607594936709,33.0,125.0,0
608,6081601000,24.0,2.8,1.0,0.7746341463414634,0.22086438152011922,0.04426229508196721,0.5543964232488823,0.15737704918032788,2157,604300.0,77207.0,not eligible,San Mateo County,mid,0.0,0.0,0.7911392405063291,125.0,0.0,0.0,0.2088607594936709,33.0,125.0,0
609,6081601100,27.2,2.5,0.9500734214390602,0.8194014447884417,0.31659353161059645,0.03039167885584268,0.5218592556476516,0.08256135218592557,2043,645100.0,89205.0,not eligible,San Mateo County,mid,0.0,0.0,0.8815789473684209,67.0,0.0,0.0,0.11842105263157895,9.0,67.0,0
610,6081601200,24.6,5.6,0.6147947677041047,0.683300395256917,0.2925631035066915,0.007284431644926309,0.3857360664069117,0.26257834999152974,2217,593300.0,66359.0,not eligible,San Mateo County,mid,0.0,0.0,0.7311827956989247,68.0,0.0,0.0,0.26881720430107525,25.0,68.0,0
611,6081601200,24.6,5.6,0.6147947677041047,0.683300395256917,0.2925631035066915,0.007284431644926309,0.3857360664069117,0.26257834999152974,2217,593300.0,66359.0,not eligible,San Mateo County,mid,0.0,0.0,0.7311827956989247,68.0,0.0,0.0,0.26881720430107525,25.0,68.0,0
612,6081601200,24.6,5.6,0.6147947677041047,0.683300395256917,0.2925631035066915,0.007284431644926309,0.3857360664069117,0.26257834999152974,2217,593300.0,66359.0,not eligible,San Mateo County,mid,0.0,0.0,0.7311827956989247,68.0,0.0,0.0,0.26881720430107525,25.0,68.0,0
613,6081601300,28.3,2.0,0.31023496614894464,0.22950089126559714,0.12323146576117713,0.025608375778155064,0.399830220713073,0.4081777023203169,2511,497500.0,49778.0,eligible,San Mateo County,mod,0.7714285714285715,54.0,0.0,0.0,0.22857142857142854,16.0,0.0,0.0,70.0,1
614,6081601300,28.3,2.0,0.31023496614894464,0.22950089126559714,0.12323146576117713,0.025608375778155064,0.399830220713073,0.4081777023203169,2511,497500.0,49778.0,eligible,San Mateo County,mod,0.7714285714285715,54.0,0.0,0.0,0.22857142857142854,16.0,0.0,0.0,70.0,1
615,6081601400,28.8,4.1,0.7274579724910851,0.6565217391304348,0.17692950682641403,0.011145165784341042,0.6071329061019782,0.14293675118417387,1963,620100.0,75083.0,not eligible,San Mateo County,mid,0.0,0.0,0.5789473684210527,55.0,0.0,0.0,0.42105263157894735,40.0,55.0,0
