Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,Period
5064.02,2017,Santa Clara County,mid,not eligible,0.0,0,0.9090909090909092,40,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5064.02,2017,Santa Clara County,mid,not eligible,0.0,0,0.9090909090909092,40,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5065.01,2017,Santa Clara County,low,eligible,0.8405797101449275,58,0.0,0,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5065.01,2017,Santa Clara County,low,eligible,0.8405797101449275,58,0.0,0,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5065.02,2017,Santa Clara County,mid,not eligible,0.0,0,0.9692307692307692,126,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5065.03,2017,Santa Clara County,mid,not eligible,0.0,0,0.96,72,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.01,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.01,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.03,2017,Santa Clara County,mid,not eligible,0.0,0,0.9803921568627452,50,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.03,2017,Santa Clara County,mid,not eligible,0.0,0,0.9803921568627452,50,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.04,2017,Santa Clara County,high,not eligible,0.0,0,0.9886363636363636,87,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.04,2017,Santa Clara County,high,not eligible,0.0,0,0.9886363636363636,87,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.04,2017,Santa Clara County,high,not eligible,0.0,0,0.9886363636363636,87,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
