Tract,Year,CRA Eligible
6085502101,2009,not eligible
6085502102,2009,eligible
6085502102,2009,eligible
6085503113,2009,eligible
6085502202,2009,not eligible
6085502202,2009,not eligible
6001402200,2009,eligible
6085504416,2009,not eligible
6085502910,2009,not eligible
6085503001,2009,not eligible
6085503211,2009,not eligible
6085503508,2009,not eligible
6085503509,2009,not eligible
6085503510,2009,eligible
6085503511,2009,not eligible
6085503601,2009,eligible
6085504318,2009,eligible
6085504319,2009,not eligible
6085504319,2009,not eligible
6085504414,2009,not eligible
6085504415,2009,not eligible
6095252502,2009,eligible
6095252502,2009,eligible
6095252502,2009,eligible
6085505005,2009,not eligible
6085505005,2009,not eligible
6085505005,2009,not eligible
6085505304,2009,not eligible
6085505100,2009,not eligible
6085505100,2009,not eligible
6001402600,2009,eligible
6085505500,2009,not eligible
6001423400,2009,eligible
6085505600,2009,eligible
6085506000,2009,not eligible
6085506302,2009,not eligible
6085506204,2009,not eligible
6085506301,2009,not eligible
6085506301,2009,not eligible
6095251100,2009,eligible
6095251100,2009,eligible
6085506502,2009,not eligible
6085506503,2009,eligible
6085506601,2009,not eligible
6085506601,2009,not eligible
6085506601,2009,not eligible
6095251802,2009,eligible
6095251802,2009,eligible
6001422700,2009,eligible
6085509500,2009,not eligible
6001422800,2009,eligible
6001423000,2009,not eligible
6085509000,2009,eligible
6001420200,2009,not eligible
6085509102,2009,not eligible
6085509102,2009,not eligible
6085509201,2009,not eligible
6085509201,2009,not eligible
6085509202,2009,not eligible
6085509303,2009,not eligible
6001401100,2009,eligible
6001422100,2009,eligible
6085509801,2009,not eligible
6085512014,2009,not eligible
6001401000,2009,eligible
6085512016,2009,not eligible
6085512016,2009,not eligible
6085512601,2009,eligible
6095250800,2009,eligible
6095250800,2009,eligible
6097150304,2009,not eligible
6097150304,2009,not eligible
6001402000,2009,not eligible
6097151402,2009,eligible
6097151402,2009,eligible
6097151402,2009,eligible
6001401500,2009,eligible
6001403300,2009,eligible
6001408600,2009,eligible
6001401700,2009,eligible
6001401900,2009,not eligible
6001403400,2009,eligible
6001403500,2009,eligible
6001403600,2009,not eligible
6001403900,2009,eligible
6001404000,2009,eligible
6001403700,2009,not eligible
6001403800,2009,not eligible
6001405300,2009,eligible
6001404800,2009,not eligible
6001405000,2009,not eligible
6001405600,2009,eligible
6001405200,2009,not eligible
6001406000,2009,eligible
6001408300,2009,not eligible
6001408400,2009,eligible
6001406400,2009,eligible
6001410400,2009,eligible
6001406700,2009,not eligible
6001406800,2009,not eligible
6001406900,2009,not eligible
6001407000,2009,eligible
6095252604,2009,eligible
6001409700,2009,eligible
6001407300,2009,eligible
6001407900,2009,not eligible
6001409900,2009,not eligible
6001410000,2009,not eligible
6001410000,2009,not eligible
6001410100,2009,eligible
6001410200,2009,eligible
6001422900,2009,eligible
6001422200,2009,not eligible
6001423100,2009,eligible
6001423200,2009,eligible
6001421600,2009,not eligible
6001423300,2009,eligible
6081600800,2009,eligible
6001423901,2009,not eligible
6001427500,2009,
6001427600,2009,eligible
6001425100,2009,not eligible
6001427400,2009,eligible
6001426200,2009,not eligible
6001427200,2009,eligible
6001427700,2009,not eligible
6001428100,2009,not eligible
6001436300,2009,eligible
6001436300,2009,eligible
6001428301,2009,not eligible
6001430900,2009,eligible
6095253107,2009,not eligible
6001431000,2009,eligible
6001430500,2009,not eligible
6001430600,2009,not eligible
6095252605,2009,eligible
6001430800,2009,not eligible
6001436700,2009,eligible
6001432300,2009,eligible
6001436200,2009,eligible
6001436200,2009,eligible
6001431100,2009,not eligible
6001432400,2009,not eligible
6001432500,2009,not eligible
6001432600,2009,eligible
6001432700,2009,not eligible
6001432800,2009,not eligible
6001432800,2009,not eligible
6001433102,2009,not eligible
6001433000,2009,not eligible
6001433101,2009,eligible
6095252606,2009,eligible
6001433200,2009,not eligible
6001433200,2009,not eligible
6001433400,2009,not eligible
6001433600,2009,not eligible
6001433600,2009,not eligible
6001433900,2009,eligible
6075032600,2009,not eligible
6001435400,2009,eligible
6001435800,2009,not eligible
6001435600,2009,eligible
6001435600,2009,eligible
6075032700,2009,not eligible
6001435700,2009,not eligible
6001435700,2009,not eligible
6001435700,2009,not eligible
6001436601,2009,eligible
6001436602,2009,eligible
6001437000,2009,not eligible
6001437900,2009,eligible
6001436401,2009,not eligible
6001436401,2009,not eligible
6001436500,2009,eligible
6075060502,2009,eligible
6001437200,2009,not eligible
6001437200,2009,not eligible
6075035202,2009,eligible
6001437400,2009,not eligible
6001438202,2009,not eligible
6081600900,2009,not eligible
6081600900,2009,not eligible
6001438000,2009,not eligible
6001438000,2009,not eligible
6001438000,2009,not eligible
6001440200,2009,eligible
6095252607,2009,eligible
6001440301,2009,not eligible
6095252608,2009,eligible
6001440308,2009,not eligible
6001440309,2009,not eligible
6013316000,2009,eligible
6013388000,2009,not eligible
6095252703,2009,not eligible
6095252703,2009,not eligible
6095252703,2009,not eligible
6013307201,2009,eligible
6013307202,2009,eligible
6055202000,2009,eligible
6075021400,2009,not eligible
6075021500,2009,not eligible
6013310000,2009,eligible
6013311000,2009,eligible
6075015300,2009,not eligible
6013312000,2009,eligible
6013338100,2009,not eligible
6013338100,2009,not eligible
6013338100,2009,not eligible
6075022600,2009,not eligible
6075015400,2009,not eligible
6075022701,2009,not eligible
6013301000,2009,eligible
6013301000,2009,eligible
6075022702,2009,not eligible
6013302002,2009,not eligible
6013302002,2009,not eligible
6013302002,2009,not eligible
6075022703,2009,eligible
6013302003,2009,not eligible
6013302003,2009,not eligible
6013302004,2009,not eligible
6013302004,2009,not eligible
6013303100,2009,eligible
6013303100,2009,eligible
6013303100,2009,eligible
6013303100,2009,eligible
6075015500,2009,eligible
6013305000,2009,eligible
6013305000,2009,eligible
6013305000,2009,eligible
6013306001,2009,eligible
6013306001,2009,eligible
6013376000,2009,eligible
6013306002,2009,not eligible
6013306002,2009,not eligible
6013306002,2009,not eligible
6075026001,2009,eligible
6013307101,2009,not eligible
6013307102,2009,eligible
