Place Name,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,FIPS state,Period
El Verano CDP,0.26299332448744744,30.857142857142858,0.4984570615726729,49.785714285714285,0.09414953265540969,10.928571428571429,0.14440008128446996,14.857142857142858,6.0,97.0,6.0,slump 2008-2012
Eldridge CDP,0.0,0.0,0.8462063972692004,73.4,0.0,0.0,0.1537936027307997,14.0,6.0,97.0,6.0,slump 2008-2012
Elmira CDP,0.0,0.0,0.8618928699303672,177.0,0.0,0.0,0.13810713006963285,31.4,6.0,95.0,6.0,slump 2008-2012
Emerald Lake Hills CDP,0.0,0.0,0.9648518493423662,92.26666666666667,0.0,0.0,0.03514815065763386,3.6666666666666665,6.0,81.0,6.0,slump 2008-2012
Emeryville city,0.0,0.0,0.6804911543314127,154.5,0.0,0.0,0.3195088456685873,73.25,6.0,1.0,6.0,slump 2008-2012
Fairfax town,0.0,0.0,0.8645968302366912,55.3,0.0,0.0,0.13540316976330874,8.6,6.0,41.0,6.0,slump 2008-2012
Fairfield city,0.2513077798950632,15.589473684210526,0.32176928799354715,89.76842105263158,0.275008009578621,19.54736842105263,0.15191492253276864,32.747368421052634,6.0,95.0,6.0,slump 2008-2012
Fairview CDP,0.020306513409961688,1.8275862068965518,0.727637311094555,99.44827586206897,0.014176245210727969,1.2758620689655173,0.23787993028475543,32.48275862068966,6.0,1.0,6.0,slump 2008-2012
Fetters Hot Springs-Agua Caliente CDP,0.745476635706066,92.25,0.0,0.0,0.2545233642939339,31.5,0.0,0.0,6.0,97.0,6.0,slump 2008-2012
Forestville CDP,0.0,0.0,0.7414904726098833,47.0,0.0,0.0,0.2585095273901167,17.1,6.0,97.0,6.0,slump 2008-2012
Foster City city,0.0,0.0,0.9190161781817153,53.5,0.0,0.0,0.08098382181828458,3.652173913043478,6.0,81.0,6.0,slump 2008-2012
Fremont city,0.004168245547555892,0.12087912087912088,0.8541666105644274,88.57142857142857,0.0013262599469496023,0.038461538461538464,0.14033888394106653,14.18131868131868,6.0,1.0,6.0,slump 2008-2012
Fruitdale CDP,0.3782236154649948,31.0,0.3480185878809942,36.8,0.12177638453500524,9.9,0.1519814121190058,16.7,6.0,85.0,6.0,slump 2008-2012
Gilroy city,0.3420220761805721,42.02325581395349,0.37383004957462584,62.651162790697676,0.21611745870314883,29.13953488372093,0.06803041554165323,13.0,6.0,85.0,6.0,slump 2008-2012
Glen Ellen CDP,0.0,0.0,0.8815594323676124,69.4,0.0,0.0,0.11844056763238761,9.2,6.0,97.0,6.0,slump 2008-2012
Graton CDP,0.0,0.0,0.8235899304904628,45.7,0.0,0.0,0.17641006950953728,11.4,6.0,97.0,6.0,slump 2008-2012
Green Valley CDP,0.0,0.0,0.8627953386916827,358.8,0.0,0.0,0.13720466130831732,53.6,6.0,95.0,6.0,slump 2008-2012
Guerneville CDP,0.45284012314876815,44.666666666666664,0.29147032625178126,18.866666666666667,0.14715987685123183,14.133333333333333,0.1085296737482187,6.933333333333334,6.0,97.0,6.0,slump 2008-2012
Half Moon Bay city,0.0,0.0,0.8788482417085763,83.5,0.0,0.0,0.12115175829142359,11.15,6.0,81.0,6.0,slump 2008-2012
Hayward city,0.19191128989553125,15.811111111111112,0.3886420074942564,48.37222222222222,0.18586648788224658,14.261111111111111,0.23358021472796547,26.75,6.0,1.0,6.0,slump 2008-2012
Healdsburg city,0.0,0.0,0.8740077559412395,48.65,0.0,0.0,0.12599224405876058,8.2,6.0,97.0,6.0,slump 2008-2012
Hercules city,0.06863153762735136,8.352941176470589,0.5417846376735175,93.44117647058823,0.0784272859020604,8.441176470588236,0.31115653879707084,50.970588235294116,6.0,13.0,6.0,slump 2008-2012
Highlands-Baywood Park CDP,0.0,0.0,0.9581828993352829,41.2,0.0,0.0,0.04181710066471729,1.7,6.0,81.0,6.0,slump 2008-2012
Hillsborough town,0.0,0.0,0.9687194060084688,78.9,0.0,0.0,0.03128059399153136,2.3666666666666667,6.0,81.0,6.0,slump 2008-2012
Inverness CDP,0.1619047619047619,3.4,0.7546910755148742,15.8,0.03809523809523809,0.8,0.04530892448512585,1.0,6.0,41.0,6.0,slump 2008-2012
Kensington CDP,0.0,0.0,0.9043525180935148,56.65,0.0,0.0,0.09564748190648503,9.45,6.0,13.0,6.0,slump 2008-2012
Kentfield CDP,0.0,0.0,0.9617181205190024,92.92857142857143,0.0,0.0,0.03828187948099747,4.357142857142857,6.0,41.0,6.0,slump 2008-2012
Knightsen CDP,0.3553582529831837,290.5,0.2856253045296342,205.5,0.1446417470168163,111.875,0.2143746954703658,149.75,6.0,13.0,6.0,slump 2008-2012
Lafayette city,0.0,0.0,0.9647066556622987,90.64,0.0,0.0,0.03529334433770127,3.68,6.0,13.0,6.0,slump 2008-2012
Lagunitas-Forest Knolls CDP,0.0,0.0,0.8095453308034978,39.2,0.0,0.0,0.19045466919650225,9.6,6.0,41.0,6.0,slump 2008-2012
Larkfield-Wikiup CDP,0.0,0.0,0.8201764738059851,122.06666666666666,0.0,0.0,0.1798235261940149,19.466666666666665,6.0,97.0,6.0,slump 2008-2012
Larkspur city,0.0,0.0,0.9472696272223756,91.79166666666667,0.0,0.0,0.05273037277762436,5.25,6.0,41.0,6.0,slump 2008-2012
Lexington Hills CDP,0.0,0.0,0.8972153010033445,60.6,0.0,0.0,0.10278469899665552,7.2,6.0,85.0,6.0,slump 2008-2012
Livermore city,0.0,0.0,0.8417529489676266,144.92105263157896,0.0,0.0,0.15824705103237363,27.75,6.0,1.0,6.0,slump 2008-2012
Los Altos Hills town,0.0,0.0,0.99373180425812,78.33333333333333,0.0,0.0,0.006268195741879952,0.4444444444444444,6.0,85.0,6.0,slump 2008-2012
Los Altos city,0.0,0.0,0.9840676266418176,66.0,0.0,0.0,0.015932373358182643,1.109375,6.0,85.0,6.0,slump 2008-2012
Los Gatos town,0.0,0.0,0.9567175628191614,77.1076923076923,0.0,0.0,0.04328243718083834,3.4615384615384617,6.0,85.0,6.0,slump 2008-2012
Loyola CDP,0.0,0.0,0.9951790027967312,67.0,0.0,0.0,0.004820997203268671,0.3157894736842105,6.0,85.0,6.0,slump 2008-2012
Lucas Valley-Marinwood CDP,0.0,0.0,0.8800869595153069,100.7,0.0,0.0,0.11991304048469313,13.8,6.0,41.0,6.0,slump 2008-2012
Martinez city,0.1203212512794303,4.0625,0.6173089899931374,75.53125,0.06717874872056971,3.0625,0.19519101000686243,25.15625,6.0,13.0,6.0,slump 2008-2012
Menlo Park city,0.15624873335910897,9.777777777777779,0.7468212183499275,47.03174603174603,0.0818465047361291,5.968253968253968,0.015083543554834428,1.0158730158730158,6.0,81.0,6.0,slump 2008-2012
Mill Valley city,0.0,0.0,0.9558024163589022,75.2,0.0,0.0,0.04419758364109778,3.2,6.0,41.0,6.0,slump 2008-2012
Millbrae city,0.0,0.0,0.9146717371566222,48.925,0.0,0.0,0.08532826284337791,5.3,6.0,81.0,6.0,slump 2008-2012
Milpitas city,0.12982702421623246,20.9375,0.6272820104567212,39.9375,0.07017297578376754,8.675,0.17271798954327913,11.125,6.0,85.0,6.0,slump 2008-2012
Montara CDP,0.0,0.0,0.8851715656838609,70.6,0.0,0.0,0.11482843431613925,9.4,6.0,81.0,6.0,slump 2008-2012
Monte Rio CDP,0.8049619471922298,84.2,0.0,0.0,0.19503805280776998,20.2,0.0,0.0,6.0,97.0,6.0,slump 2008-2012
Monte Sereno city,0.0,0.0,0.9565000159679539,60.9,0.0,0.0,0.04349998403204629,3.4,6.0,85.0,6.0,slump 2008-2012
